,wallets,initiated_by_gr_participant,trx_gr_participants_during_round,trx_between_gr_participants,first_trx_d_round
148,0xdc2ee029dd7e6de5ab7c64ffa894dbf1c1abc898,False,False,False,False
149,0x0e04898b24c68f22866ec1c4839335052989c88a,False,False,False,False
150,0x65ad2bf7e09af2597c140df6386a3003d0f5f8ee,False,False,False,False
151,0xc2e6b265cb965ded721566f0f9eb5ab1a6162a21,False,False,False,False
152,0x790de6f4edcc1ecc49cfd1ecbddd320d851c4f15,False,False,False,False
153,0x35e5f01adc4b1e4fbae06a937968f39027b855e4,False,False,False,False
154,0x8b55ad40357730deac69e6511c8041aac458c15d,False,False,False,False
155,0x58ba15026605bd25d79d1eb2822ded321d7796e1,False,False,False,False
156,0xc57825e251f5da0cc775df27c1b9e75afef8bd6e,False,False,False,False
157,0x9f73b6995f094740d76b5a68f8ee990c88c2e088,False,False,False,False
158,0xcd0d4cdb238eec15fcf4ff9d13d5a59051e507d7,False,False,False,False
159,0x658191594cda88744d8158813029420dcf137a32,False,False,False,False
160,0x8aee21ab7f353500821bbf8ec1d39d318ba7a6eb,False,False,False,False
161,0x44f7ba612a1d28aab1375173616591045021eddb,False,False,False,False
162,0xb8d670de0a8beddc40a67ec292459f225fad450e,False,False,False,False
163,0xca8e1abddfc8bc818c231ec2669d8f0f7559800d,False,False,False,False
164,0x9fd8cd16acd5adb7328945dbb795bd7d9e34fed9,False,False,False,False
165,0x5d14879c413bfd284973ae483a0c311554165327,False,False,False,False
166,0xe13044ee0e73ce7d3b82fc1df193017e4bed431c,False,False,False,False
167,0x67344f9832506fb5a58d8b89428179eadb0614a8,False,False,False,False
168,0xaf4f04d7e84742a7dc3581d9c7eeb56d0533c438,False,False,False,False
169,0x6d0c0428c547d635ed2524e18a783c26db786ace,False,False,False,False
170,0xc04d016d650271317c1c471e2621312314a7be24,False,False,False,False
171,0x53d63286426a8051a707d5b7d17e28aaad10a411,False,False,False,False
172,0xf9822c211efe38791b64150e9fdd7c3792b4f076,False,False,False,False
173,0x3d60404737314d9741963f970596299b63586943,False,False,False,False
174,0xca9644eba62189382d719497e5ac91e66ea7ec11,False,False,False,True
175,0x2ba0cf3a45d78fb39cd2a75516c3338d5f36dd37,False,False,False,False
176,0xc2fa554c96051717aa32930833bac68747112e68,False,False,False,False
177,0xc7dc2eebca9bc10af7fbe88195ffcbd3db45479d,False,False,False,False
178,0xca72c93172ba6eff168e59e7f17c3c7a8fea9b62,False,False,False,False
179,0x14a5de66868c9ca08894a254e6a999716446f0f7,False,False,False,False
180,0x10721ccfa1062675955ae89fa12356811fb4dc8c,False,False,False,False
181,0x65ae5db4c367d89ac8f60d202b61046604e717e9,False,False,False,False
182,0xb2643fc3e21aae3fb5d8e2c8aead52e49a20e431,False,False,False,False
183,0x8efd27a5a585e2220d3d013f24722d8474eaa6f9,False,False,False,False
184,0xd65d541ef44967b0812787a4d42bfe7fb681b5af,False,False,False,False
185,0x05fca3f7ec0cee9925c1ecabfedf182d2dc02359,False,False,False,False
186,0x56e95a8b2fde385230f6b19e50a94f6be4b5e581,False,False,False,False
187,0x98696c0afd8d8865c88134e36738f4bd9ebf9579,False,False,False,False
188,0x3f7d3dc16451628356c8de88ff957850be556bf2,False,False,False,True
189,0xa84f02ee77d387bbf19c8c830ae9d03e6441a250,False,False,False,False
190,0xe13efe9b0f623a263d4c2f153ac67e12d99bec33,False,False,False,False
191,0xe2665c6b02ea68e0cf3ef1a74b88155ef10243a0,False,False,False,False
192,0x416eb2e2c970f98f299137a30240c2ce36f24ce8,False,False,False,False
193,0xf67068803f314a58997629109e67819c25069f18,False,False,False,False
194,0x6c7d84ba36b6d734c5d9b1c964128089086a4225,False,False,False,True
195,0xdcc17f78f384bfc13fe5f0dded4049c039d3e123,False,False,False,False
196,0x93c6c4773e8ceae55a2ccc3064c4819be86f6e07,False,False,False,False
197,0x231919835aa6c37092ba56200e477a39d31f25b2,False,False,False,False
198,0x12358f3801e916d7df8d86d7be9e48559837f6a7,False,False,False,False
199,0x93a3773bebe9d056b097e529790fd4fc4a1b278e,False,False,False,False
200,0x2571beb6db3f04615152e040e1cc4622e88e1f6e,False,False,False,False
201,0x7e052ef7b4bb7e5a45f331128afadb1e589deaf1,False,False,False,False
202,0x6905030bab047b4a65b28db078e8d844b83d6fbf,False,False,False,False
203,0x78ef9eafc1cd56199cb05a7044fe143bc9ef6f45,False,False,False,False
204,0xc65aa07a7134b08a558cbc29aba93cebdfb02a33,False,False,False,False
205,0x39ea10a713a066273ab51f8c72c53e18e3370316,False,False,False,False
206,0x25cbdaedcec3ffec7ef9999019cb6b173ab1ff95,False,False,False,False
207,0xe5aadf63f6544cd5363f117a80eec44783ace6e8,False,False,False,False
208,0xdc3f0433b5f175a4b9e13cf5ba5b1599f38f775c,False,False,False,False
209,0x110861b866d2c54fa76a8ca25aad5e85ec2c93c0,False,False,False,False
210,0xc12952f63b055a116b730a5778200fc2454ada17,False,False,False,False
211,0x5e5de26e14a711d6eb21333c24f1acec9fa0a2c1,False,False,False,False
212,0xdd4a19dc351ba42421db282196af38b433aa86ba,False,False,False,False
213,0x165481239cc2827f92f738571b2ce1e532c900ca,False,False,False,False
214,0x01b23f8cc7fbf107b0f39aa0ba7c17ebafb5d618,False,False,False,False
215,0x4bb4002d9e79321516649dd645e87dc2ac76901f,False,False,False,False
216,0x817edc930e8cd17c1ff3601f9cf166b913e0bd80,False,False,False,False
217,0xe679d21696f2d833e1d92cf44f88a78e796756a3,False,False,False,False
218,0xfd9346bb6be8088a16632be05c21536e697cd514,False,False,False,False
219,0xcb87186061c7afbdc45141f43f24c736f861641e,False,False,False,False
220,0x183b7e7fa5c967e94000c4d4eb45f30fc434675c,False,False,False,False
221,0xdb0956eb096fb6f9af688c7b820d9f5c860adf68,False,False,False,False
222,0xa670ebdaaa258311a7c33a5bf795f07b97c83430,False,False,False,False
223,0xb5d31e8512d1d0b048da53832a36d56fb200ca3d,False,False,False,False
224,0x8e5fd0b134baf2b49da3ba9a514901ebcb9cf513,False,False,False,False
225,0xfd8f163c1e3f1566ca0b68602980c1419040a620,False,False,False,False
226,0xd6e7460a473ace3e6b65e8e924a3f121f4253777,False,False,False,False
227,0x648f09326ae1012be76449422e888427e24a3872,False,False,False,False
228,0x5c87d2486f4efa3ee2cda8cfc140a4a04de7c5fe,False,False,False,False
229,0xb7ea5af26e57cf224b22a77128ffd8e9e64cced5,False,False,False,False
230,0x731a2e51ebfaebacf8477e992cdeb1e8eacf519c,False,False,False,False
